"eta_over_alpha","t","Fidelity"
0.,0.,1.
0.,0.01,0.9997078715840043
0.,0.02,0.9988619701849532
0.,0.03,0.9975058473353685
0.,0.04,0.9956802945233386
0.,0.05,0.9934235083565401
0.,0.06,0.9907712460201104
0.,0.07,0.98775697159534
0.,0.08,0.9844119937731234
0.,0.09,0.9807655954649567
0.,0.1,0.9768451557849798
0.,0.11,0.972676264848934
0.,0.12,0.9682828318099223
0.,0.13,0.9636871865263689
0.,0.14,0.9589101752345244
0.,0.15,0.9539712505761387
0.,0.16,0.9488885563114904
0.,0.17,0.9436790070286877
0.,0.18,0.9383583631420384
0.,0.19,0.9329413014551909
0.,0.2,0.927441481548679
0.,0.21,0.9218716082363502
0.,0.22,0.9162434903208934
0.,0.23,0.9105680958652554
0.,0.24,0.9048556041840752
0.,0.25,0.8991154547473675
0.,0.26,0.8933563931774545
0.,0.27,0.8875865145095886
0.,0.28,0.8818133038767587
0.,0.29,0.8760436747698022
0.,0.3,0.8702840050151232
0.,0.31,0.8645401706040066
0.,0.32,0.858817577499699
0.,0.33,0.8531211915410513
0.,0.34,0.8474555665545858
0.,0.35,0.8418248707803117
0.,0.36,0.836232911710463
0.,0.37,0.8306831594345362
0.,0.38,0.8251787685785477
0.,0.39,0.8197225989212943
0.,0.4,0.8143172347655631
0.,0.41,0.8089650031376693
0.,0.42,0.8036679908844266
0.,0.43,0.7984280607326003
0.,0.44,0.7932468663720895
0.,0.45,0.7881258666205119
0.,0.46,0.7830663387234755
0.,0.47,0.778069390841656
0.,0.48,0.7731359737728006
0.,0.49,0.7682668919539621
0.,0.5,0.7634628137866158
0.,0.51,0.7587242813248115
0.,0.52,0.7540517193641617
0.,0.53,0.7494454439672497
0.,0.54,0.7449056704589575
0.,0.55,0.7404325209232497
0.,0.56,0.7360260312310951
0.,0.57,0.7316861576274729
0.,0.58,0.7274127829037661
0.,0.59,0.7232057221802992
0.,0.6,0.7190647283223284
0.,0.61,0.7149894970114207
0.,0.62,0.7109796714928651
0.,0.63,0.7070348470185546
0.,0.64,0.7031545750036231
0.,0.65,0.6993383669140584
0.,0.66,0.695585697901485
0.,0.67,0.691896010200369
0.,0.68,0.6882687163019907
0.,0.69,0.6847032019186895
0.,0.7,0.6811988287510853
0.,0.71,0.6777549370702364
0.,0.72,0.6743708481259804
0.,0.73,0.6710458663920504
0.,0.74,0.6677792816579217
0.,0.75,0.6645703709767617
0.,0.76,0.6614184004783045
0.,0.77,0.6583226270549367
0.,0.78,0.6552822999288075
0.,0.79,0.6522966621072943
0.,0.8,0.6493649517337367
0.,0.81,0.6464864033399268
0.,0.82,0.6436602490064718
0.,0.83,0.6408857194367662
0.,0.84,0.6381620449499851
0.,0.85,0.6354884563981722
0.,0.86,0.6328641860122063
0.,0.87,0.6302884681811375
0.,0.88,0.6277605401691131
0.,0.89,0.6252796427738726
0.,0.9,0.6228450209305366
0.,0.91,0.6204559242642067
0.,0.92,0.618111607594668
0.,0.93,0.6158113313962998
0.,0.94,0.6135543622161076
0.,0.95,0.6113399730526083
0.,0.96,0.6091674436981515
0.,0.97,0.607036061047082
0.,0.98,0.6049451193720244
0.,0.99,0.6028939205704164
0.,1.,0.6008817743832929
0.,1.01,0.5989079985882091
0.,1.02,0.5969719191680588
0.,1.03,0.5950728704574555
0.,1.04,0.5932101952682255
0.,1.05,0.5913832449954793
0.,1.06,0.5895913797056282
0.,1.07,0.5878339682076372
0.,1.08,0.5861103881087157
0.,1.09,0.5844200258555823
0.,1.1,0.5827622767623635
0.,1.11,0.5811365450261224
0.,1.12,0.5795422437309501
0.,1.13,0.5779787948414938
0.,1.14,0.5764456291867432
0.,1.15,0.5749421864348406
0.,1.16,0.5734679150596359
0.,1.17,0.5720222722996576
0.,1.18,0.5706047241101321
0.,1.19,0.5692147451086409
0.,1.2,0.5678518185149651
0.,1.21,0.5665154360856381
0.,1.22,0.5652050980436829
0.,1.23,0.563920313003991
0.,1.24,0.5626605978947604
0.,1.25,0.5614254778753872
0.,1.26,0.560214486251178
0.,1.27,0.5590271643852279
0.,1.28,0.5578630616077794
0.,1.29,0.5567217351233644
0.,1.3,0.5556027499160054
0.,1.31,0.5545056786527337
0.,1.32,0.5534301015856659
0.,1.33,0.5523756064528627
0.,1.34,0.5513417883781787
0.,1.35,0.5503282497702927
0.,1.36,0.5493346002211029
0.,1.37,0.5483604564036499
0.,1.38,0.5474054419697219
0.,1.39,0.5464691874472846
0.,1.4,0.5455513301378687
0.,1.41,0.5446515140140361
0.,1.42,0.5437693896170346
0.,1.43,0.5429046139547489
0.,1.44,0.5420568504000396
0.,1.45,0.5412257685895585
0.,1.46,0.5404110443231204
0.,1.47,0.5396123594637047
0.,1.48,0.5388294018381539
0.,1.49,0.5380618651386285
0.,1.5,0.5373094488248763
0.,1.51,0.5365718580273633
0.,1.52,0.5358488034513149
0.,1.53,0.5351400012817039
0.,1.54,0.5344451730892273
0.,1.55,0.5337640457372987
0.,1.56,0.5330963512900906
0.,1.57,0.5324418269216472
0.,1.58,0.5318002148260949
0.,1.59,0.5311712621289656
0.,1.6,0.5305547207996519
0.,1.61,0.5299503475650076
0.,1.62,0.5293579038241036
0.,1.63,0.5287771555641522
0.,1.64,0.5282078732776025
0.,1.65,0.5276498318804159
0.,1.66,0.5271028106315236
0.,1.67,0.5265665930534686
0.,1.68,0.5260409668542319
0.,1.69,0.5255257238502431
0.,1.7,0.5250206598905736
0.,1.71,0.5245255747823052
0.,1.72,0.5240402722170755
0.,1.73,0.5235645596987895
0.,1.74,0.5230982484724929
0.,1.75,0.5226411534544014
0.,1.76,0.5221930931630744
0.,1.77,0.5217538896517271
0.,1.78,0.5213233684416708
0.,1.79,0.5209013584568719
0.,1.8,0.5204876919596166
0.,1.81,0.5200822044872749
0.,1.82,0.5196847347901474
0.,1.83,0.5192951247703882
0.,1.84,0.5189132194219865
0.,1.85,0.5185388667717996
0.,1.86,0.51817191782162
0.,1.87,0.5178122264912682
0.,1.88,0.5174596495626947
0.,1.89,0.5171140466250792
0.,1.9,0.5167752800209136
0.,1.91,0.5164432147930559
0.,1.92,0.5161177186327409
0.,1.93,0.5157986618285333
0.,1.94,0.5154859172162105
0.,1.95,0.515179360129563
0.,1.96,0.5148788683520944
0.,1.97,0.514584322069611
0.,1.98,0.5142956038236878
0.,1.99,0.5140125984659929
0.,2.,0.5137351931134623
0.,2.01,0.5134632771043068
0.,2.02,0.5131967419548417
0.,2.03,0.5129354813171219
0.,2.04,0.5126793909373737
0.,2.05,0.5124283686152051
0.,2.06,0.5121823141635872
0.,2.07,0.5119411293695869
0.,2.08,0.5117047179558472
0.,2.09,0.5114729855427913
0.,2.1,0.5112458396115498
0.,2.11,0.5110231894675878
0.,2.12,0.5108049462050283
0.,2.13,0.5105910226716535
0.,2.14,0.5103813334345768
0.,2.15,0.5101757947465692
0.,2.16,0.5099743245130328
0.,2.17,0.5097768422596068
0.,2.18,0.509583269100396
0.,2.19,0.5093935277068096
0.,2.2,0.509207542277002
0.,2.21,0.5090252385058994
0.,2.22,0.5088465435558082
0.,2.23,0.508671386027588
