"eta_over_alpha","t","Fidelity"
0.,0.,1.
0.,0.01,0.9999001697851722
0.,0.02,0.9996013831243556
0.,0.03,0.9991047515293661
0.,0.04,0.9984114599061568
0.,0.05,0.9975227657160017
0.,0.06,0.996439998111911
0.,0.07,0.9951645570507506
0.,0.08,0.9936979123815397
0.,0.09,0.9920416029104102
0.,0.1,0.9901972354427154
0.,0.11,0.9881664838027862
0.,0.12,0.9859510878318354
0.,0.13,0.9835528523645218
0.,0.14,0.9809736461846851
0.,0.15,0.9782154009607755
0.,0.16,0.9752801101615022
0.,0.17,0.9721698279522317
0.,0.18,0.9688866680726754
0.,0.19,0.9654328026964021
0.,0.2,0.961810461272727
0.,0.21,0.9580219293515233
0.,0.22,0.9540695473915112
0.,0.23,0.9499557095525836
0.,0.24,0.9456828624727278
0.,0.25,0.941253504030111
0.,0.26,0.9366701820908929
0.,0.27,0.9319354932433421
0.,0.28,0.9270520815188239
0.,0.29,0.9220226371002402
0.,0.3,0.9168498950184949
0.,0.31,0.9115366338375692
0.,0.32,0.9060856743287837
0.,0.33,0.9004998781348343
0.,0.34,0.8947821464241832
0.,0.35000000000000003,0.8889354185363898
0.,0.36,0.882962670618971
0.,0.37,0.8768669142563708
0.,0.38,0.8706511950916318
0.,0.39,0.864318591441351
0.,0.4,0.8578722129045067
0.,0.41000000000000003,0.851315198965744
0.,0.42,0.8446507175937006
0.,0.43,0.8378819638349604
0.,0.44,0.8310121584042152
0.,0.45,0.824044546271216
0.,0.46,0.8169823952450969
0.,0.47000000000000003,0.8098289945566433
0.,0.48,0.8025876534390877
0.,0.49,0.7952616997080009
0.,0.5,0.7878544783408524
0.,0.51,0.7803693500568085
0.,0.52,0.772809689897332
0.,0.53,0.7651788858081472
0.,0.54,0.7574803372231288
0.,0.55,0.74971745365067
0.,0.56,0.7418936532630813
0.,0.5700000000000001,0.7340123614895682
0.,0.58,0.7260770096133307
0.,0.59,0.7180910333733245
0.,0.6,0.7100578715712178
0.,0.61,0.7019809646840746
0.,0.62,0.6938637534832873
0.,0.63,0.6857096776602819
0.,0.64,0.6775221744595072
0.,0.65,0.6693046773192185
0.,0.66,0.6610606145205594
0.,0.67,0.652793407845438
0.,0.68,0.6445064712436921
0.,0.6900000000000001,0.6362032095100243
0.,0.7000000000000001,0.6278870169711909
0.,0.71,0.6195612761839133
0.,0.72,0.6112293566439808
0.,0.73,0.6028946135070032
0.,0.74,0.5945603863212642
0.,0.75,0.5862299977731219
0.,0.76,0.5779067524453957
0.,0.77,0.5695939355891678
0.,0.78,0.5612948119094232
0.,0.79,0.5530126243649446
0.,0.8,0.5447505929828697
0.,0.81,0.5365119136883094
0.,0.8200000000000001,0.5282997571494207
0.,0.8300000000000001,0.5201172676383156
0.,0.84,0.5119675619081854
0.,0.85,0.5038537280870024
0.,0.86,0.4957788245881621
0.,0.87,0.4877458790384142
0.,0.88,0.47975788722342305
0.,0.89,0.47181781205129303
0.,0.9,0.46392858253437924
0.,0.91,0.45609309278970245
0.,0.92,0.44831420105826997
0.,0.93,0.4405947287436046
0.,0.9400000000000001,0.43293745946976403
0.,0.9500000000000001,0.4253451381591337
0.,0.96,0.4178204701302597
0.,0.97,0.4103661202159834
0.,0.98,0.4029847119021276
0.,0.99,0.39567882648697467
0.,1.,0.38845100226177054
0.,1.01,0.3813037337124742
0.,1.02,0.3742394707429665
0.,1.03,0.3672606179199215
0.,1.04,0.3603695337395315
0.,1.05,0.3535685299162735
0.,1.06,0.346859870693886
0.,1.07,0.34024577217872304
0.,1.08,0.3337284016956405
0.,1.09,0.3273098771665569
0.,1.1,0.3209922665118259
0.,1.11,0.3147775870745433
0.,1.12,0.3086678050679061
0.,1.1300000000000001,0.3026648350457281
0.,1.1400000000000001,0.2967705393962069
0.,1.1500000000000001,0.2909867278590299
0.,1.16,0.28531515706589516
0.,1.17,0.279757530104512
0.,1.18,0.27431549610614203
0.,1.19,0.2689906498567226
0.,1.2,0.2637845314316152
0.,1.21,0.25869862585400216
0.,1.22,0.2537343627769549
0.,1.23,0.2488931161891782
0.,1.24,0.2441762041444312
0.,1.25,0.2395848885146165
0.,1.26,0.2351203747665166
0.,1.27,0.23078381176214757
0.,1.28,0.22657629158269438
0.,1.29,0.22249884937597847
0.,1.3,0.21855246322740257
0.,1.31,0.21473805405430585
0.,1.32,0.21105648552365525
0.,1.33,0.20750856399299
0.,1.34,0.2040950384745266
0.,1.35,0.20081660062232237
0.,1.36,0.19767388474238845
0.,1.37,0.1946674678256337
0.,1.3800000000000001,0.19179786960351264
0.,1.3900000000000001,0.18906555262624103
0.,1.4000000000000001,0.1864709223634362
0.,1.41,0.18401432732703066
0.,1.42,0.18169605921629672
0.,1.43,0.1795163530848169
0.,1.44,0.17747538752922154
0.,1.45,0.17557328489951118
0.,1.46,0.17381011153077114
0.,1.47,0.17218587799608082
0.,1.48,0.1707005393804089
0.,1.49,0.1693539955752819
0.,1.5,0.16814609159400518
0.,1.51,0.16707661790720674
0.,1.52,0.16614531079847006
0.,1.53,0.16535185273981234
0.,1.54,0.16469587278676134
0.,1.55,0.1641769469927738
0.,1.56,0.16379459884273345
0.,1.57,0.1635482997052623
0.,1.58,0.16343746930356956
0.,1.59,0.16346147620455753
0.,1.6,0.16361963832589932
0.,1.61,0.16391122346079584
0.,1.62,0.16433544982011472
0.,1.6300000000000001,0.16489148659160774
0.,1.6400000000000001,0.16557845451589942
0.,1.6500000000000001,0.16639542647893224
0.,1.6600000000000001,0.16734142812055036
0.,1.67,0.1684154384588989
0.,1.68,0.16961639053031102
0.,1.69,0.17094317204434867
0.,1.7,0.17239462605366174
0.,1.71,0.17396955163832462
0.,1.72,0.1756667046043024
0.,1.73,0.17748479819570095
0.,1.74,0.17942250382044567
0.,1.75,0.181478451789033
0.,1.76,0.18365123206599465
0.,1.77,0.18593939503371215
0.,1.78,0.18834145226821386
0.,1.79,0.19085587732658638
0.,1.8,0.19348110654562783
0.,1.81,0.19621553985136825
0.,1.82,0.19905754157908
0.,1.83,0.20200544130339843
0.,1.84,0.2050575346781715
0.,1.85,0.20821208428565513
0.,1.86,0.2114673204946676
0.,1.87,0.21482144232731692
0.,1.8800000000000001,0.2182726183339126
0.,1.8900000000000001,0.2218189874756713
0.,1.9000000000000001,0.22545866001482645
0.,1.9100000000000001,0.22918971841174746
0.,1.92,0.23301021822867873
0.,1.93,0.2369181890397028
0.,1.94,0.24091163534653315
0.,1.95,0.24498853749974436
0.,1.96,0.24914685262504316
0.,1.97,0.2533845155541854
0.,1.98,0.257699439760146
0.,1.99,0.2620895182961464
0.,2.,0.2665526247381459
0.,2.0100000000000002,0.27108661413040297
0.,2.02,0.2756893239337147
0.,2.0300000000000002,0.28035857497594385
0.,2.04,0.28509217240443885
0.,2.05,0.2898879066399618
0.,2.06,0.29474355433173516
0.,2.07,0.29965687931321644
0.,2.08,0.30462563355822414
0.,2.09,0.3096475581370215
0.,2.1,0.31472038417198767
0.,2.11,0.3198418337924861
0.,2.12,0.3250096210885635
0.,2.13,0.3302214530630963
0.,2.14,0.3354750305820176
