"c_over_gamma","t","Fidelity"
1.,0.,1.
1.,0.01,0.9999990221981476
1.,0.02,0.9999923504397219
1.,0.03,0.9999747506405869
1.,0.04,0.9999414602461387
1.,0.05,0.9998881569079732
1.,0.06,0.9998109290667818
1.,0.07,0.9997062483287864
1.,0.08,0.9995709435296116
1.,0.09,0.9994021763857193
1.,0.1,0.9991974186393664
1.,0.11,0.9989544306085599
1.,0.12,0.9986712410586726
1.,0.13,0.9983461283172599
1.,0.14,0.997977602558227
1.,0.15,0.997564389185811
1.,0.16,0.9971054132529411
1.,0.17,0.9965997848523571
1.,0.18,0.9960467854225001
1.,0.19,0.9954458549135832
1.,0.2,0.9947965797624589
1.,0.21,0.9940986816279205
1.,0.22,0.9933520068409107
1.,0.23,0.9925565165267944
1.,0.24,0.9917122773593646
1.,0.25,0.9908194529086323
1.,0.26,0.9898782955466718
1.,0.27,0.9888891388779123
1.,0.28,0.98785239066223
1.,0.29,0.9867685262010767
1.,0.3,0.985638082158621
1.,0.31,0.9844616507915411
1.,0.32,0.98323987456266
1.,0.33,0.9819734411150818
1.,0.34,0.9806630785848608
1.,0.35000000000000003,0.9793095512315482
1.,0.36,0.9779136553671617
1.,0.37,0.9764762155652977
1.,0.38,0.974998081133172
1.,0.39,0.9734801228304045
1.,0.4,0.9719232298193217
1.,0.41000000000000003,0.97032830683245
1.,0.42,0.968696271543735
1.,0.43,0.9670280521308104
1.,0.44,0.965324585016403
1.,0.45,0.9635868127776663
1.,0.46,0.9618156822129076
1.,0.47000000000000003,0.960012142555797
1.,0.48,0.9581771438277416
1.,0.49,0.9563116353196672
1.,0.5,0.9544165641949716
1.,0.51,0.9524928742059098
1.,0.52,0.9505415045161328
1.,0.53,0.9485633886225419
1.,0.54,0.9465594533700326
1.,0.55,0.9445306180530864
1.,0.56,0.9424777935985352
1.,0.5700000000000001,0.9404018818241676
1.,0.58,0.9383037747681661
1.,0.59,0.9361843540846699
1.,0.6,0.9340444905010448
1.,0.61,0.9318850433327072
1.,0.62,0.929706860051606
1.,0.63,0.9275107759047034
1.,0.64,0.9252976135790172
1.,0.65,0.92306818291
1.,0.66,0.9208232806302319
1.,0.67,0.9185636901555816
1.,0.68,0.9162901814061759
1.,0.6900000000000001,0.9140035106596748
1.,0.7000000000000001,0.9117044204345104
1.,0.71,0.909393639400889
1.,0.72,0.9070718823174968
1.,0.73,0.9047398499919775
1.,0.74,0.9023982292633692
1.,0.75,0.9000476930048074
1.,0.76,0.8976889001449014
1.,0.77,0.8953224957062995
1.,0.78,0.892949110860048
1.,0.79,0.890569362994438
1.,0.8,0.8881838557971253
