"eta_over_gamma","t","Fidelity"
0.,0.,1.
0.,0.04,0.9999414602461387
0.,0.08,0.9995709435296116
0.,0.12,0.9986712410586726
0.,0.16,0.9971054132529411
0.,0.2,0.9947965797624589
0.,0.24,0.9917122773593646
0.,0.28,0.98785239066223
0.,0.32,0.98323987456266
0.,0.36,0.9779136553671617
0.,0.4,0.9719232298193217
0.,0.44,0.965324585016403
0.,0.48,0.9581771438277416
0.,0.52,0.9505415045161328
0.,0.56,0.9424777935985352
0.,0.6,0.9340444905010448
0.,0.64,0.9252976135790172
0.,0.68,0.9162901814061759
0.,0.72,0.9070718823174968
0.,0.76,0.8976889001449014
0.,0.8,0.8881838557971253
0.,0.84,0.8785958335012527
0.,0.88,0.8689604676902447
0.,0.92,0.8593100721183311
0.,0.96,0.8496737971522941
0.,1.,0.8400778045871047
0.,1.04,0.8305454519777415
0.,1.08,0.8210974805293463
0.,1.12,0.8117522021739056
0.,1.16,0.8025256826845824
0.,1.2,0.7934319186180021
0.,1.24,0.7844830065925911
0.,1.28,0.7756893039562973
0.,1.32,0.7670595803080557
0.,1.36,0.7586011596442048
0.,1.4000000000000001,0.7503200531272232
0.,1.44,0.742221082638058
0.,1.48,0.734307995389309
0.,1.52,0.7265835699558757
0.,1.56,0.7190497141310839
0.,1.6,0.7117075550466363
0.,1.6400000000000001,0.704557522009244
0.,1.68,0.6975994225096025
0.,1.72,0.6908325118536603
0.,1.76,0.6842555568543106
0.,1.8,0.677866894005605
0.,1.84,0.6716644825427711
0.,1.8800000000000001,0.6656459527707835
0.,1.92,0.6598086500228181
0.,1.96,0.6541496745882129
0.,2.,0.6486659179280023
0.,2.04,0.6433540954750132
0.,2.08,0.6382107762951398
0.,2.12,0.633232409866875
0.,2.16,0.6284153502176022
0.,2.2,0.6237558776375591
0.,2.24,0.6192502181758259
0.,2.2800000000000002,0.6148945611071391
0.,2.32,0.610685074543796
0.,2.36,0.6066179193533349
0.,2.4,0.6026892615300484
0.,2.44,0.5988952831566341
0.,2.48,0.5952321920813912
0.,2.52,0.5916962304262728
0.,2.56,0.5882836820317456
0.,2.6,0.5849908789357677
0.,2.64,0.5818142069762015
0.,2.68,0.578750110598599
0.,2.72,0.5757950969444948
0.,2.7600000000000002,0.5729457392890567
0.,2.8000000000000003,0.570198679891165
0.,2.84,0.5675506323136587
0.,2.88,0.5649983832665759
0.,2.92,0.5625387940217068
0.,2.96,0.5601688014426106
0.,3.,0.557885418670436
0.,3.04,0.5556857355023628
0.,3.08,0.5535669184962564
0.,3.12,0.5515262108321589
0.,3.16,0.5495609319585133
0.,3.2,0.5476684770485181
0.,3.24,0.5458463162897114
0.,3.2800000000000002,0.544091994027775
0.,3.3200000000000003,0.5424031277836194
0.,3.36,0.5407774071610377
0.,3.4,0.5392125926605893
0.,3.44,0.5377065144138934
0.,3.48,0.5362570708511422
0.,3.52,0.5348622273134024
0.,3.56,0.5335200146201292
0.,3.6,0.5322285276012756
0.,3.64,0.5309859236024234
0.,3.68,0.5297904209704938
0.,3.72,0.5286402975267976
0.,3.7600000000000002,0.527533889033459
0.,3.8000000000000003,0.5264695876585852
0.,3.84,0.5254458404449515
0.,3.88,0.5244611477864187
0.,3.92,0.5235140619158035
0.,3.96,0.5226031854074622
0.,4.,0.5217271696974417
2.,0.,1.
2.,0.04,0.9999425610564432
2.,0.08,0.9995861263010983
2.,0.12,0.99873765029975
2.,0.16,0.9972871601173598
2.,0.2,0.9951816484748459
2.,0.24,0.9924066917051447
2.,0.28,0.9889735355197424
2.,0.32,0.9849100493202504
2.,0.36,0.9802544159411091
2.,0.4,0.9750507540817235
2.,0.44,0.9693461048232628
2.,0.48,0.9631883795547147
2.,0.52,0.9566249842196644
2.,0.56,0.9497019181194326
2.,0.6,0.9424632045490193
2.,0.64,0.93495055237261
2.,0.68,0.9272031772784175
2.,0.72,0.9192577324413224
2.,0.76,0.9111483131844585
2.,0.8,0.9029065107523895
2.,0.84,0.8945614977538319
2.,0.88,0.8861401330975449
2.,0.92,0.8776670779664648
2.,0.96,0.869164917002697
2.,1.,0.8606542807287916
2.,1.04,0.8521539665349404
2.,1.08,0.8436810564776364
2.,1.12,0.8352510307765104
2.,1.16,0.8268778763429407
2.,1.2,0.8185741899836598
2.,1.24,0.8103512761353107
2.,1.28,0.8022192391303582
2.,1.32,0.7941870700911534
2.,1.36,0.7862627286116618
2.,1.4000000000000001,0.7784532194254677
2.,1.44,0.7707646642814132
2.,1.48,0.7632023692595837
2.,1.52,0.7557708877639899
2.,1.56,0.7484740794266413
2.,1.6,0.7413151651525907
2.,1.6400000000000001,0.7342967785281849
2.,1.68,0.727421013805998
2.,1.72,0.7206894706704493
2.,1.76,0.7141032959782242
2.,1.8,0.7076632226576984
2.,1.84,0.701369605941748
2.,1.8800000000000001,0.6952224570987531
2.,1.92,0.6892214748173674
2.,1.96,0.6833660743917417
2.,2.,0.67765541484542
2.,2.04,0.6720884241240609
2.,2.08,0.6666638224794763
2.,2.12,0.6613801441602276
2.,2.16,0.6562357575171628
2.,2.2,0.6512288836257841
2.,2.24,0.646357613521226
2.,2.2800000000000002,0.6416199241358406
2.,2.32,0.6370136930239495
2.,2.36,0.6325367119531848
2.,2.4,0.6281866994370059
2.,2.44,0.6239613122784294
2.,2.48,0.6198581561907157
2.,2.52,0.6158747955567166
2.,2.56,0.6120087623847926
2.,2.6,0.6082575645156214
2.,2.64,0.6046186931308616
2.,2.68,0.601089629611458
2.,2.72,0.597667851790401
2.,2.7600000000000002,0.594350839641944
2.,2.8000000000000003,0.5911360804466467
2.,2.84,0.5880210734691321
2.,2.88,0.5850033341831135
2.,2.92,0.5820803980760504
2.,2.96,0.5792498240637378
2.,3.,0.5765091975431886
2.,3.04,0.5738561331103536
2.,3.08,0.5712882769675073
2.,3.12,0.568803309043525
2.,3.16,0.5663989448487622
2.,3.2,0.5640729370848301
2.,3.24,0.5618230770282315
2.,3.2800000000000002,0.5596471957055652
2.,3.3200000000000003,0.5575431648768383
2.,3.36,0.555508897842319
2.,3.4,0.5535423500873329
2.,3.44,0.5516415197784288
2.,3.48,0.5498044481234383
2.,3.52,0.5480292196070896
2.,3.56,0.5463139621130442
2.,3.6,0.5446568469424684
2.,3.64,0.5430560887385505
2.,3.68,0.5415099453257148
2.,3.72,0.5400167174716657
2.,3.7600000000000002,0.5385747485798155
